Where are Indian restaurants in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('cuisine','indian')),qtype(latlong))
Where are Indian restaurants in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('cuisine','indian')),qtype(latlong))
Where are Indian restaurants in Paris?	query(area(keyval('name','Paris')),nwr(keyval('cuisine','indian')),qtype(latlong))
Where are Italian restaurants in Berlin?	query(area(keyval('name','Berlin')),nwr(keyval('amenity','restaurant'),keyval('cuisine','italian')),qtype(latlong))
Where are Italian restaurants in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('cuisine','italian')),qtype(latlong))
Where are Italian restaurants in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('cuisine','italian')),qtype(latlong))
Where are Italian restaurants in Paris?	query(area(keyval('name','Paris')),nwr(keyval('cuisine','italian')),qtype(latlong))
Where are Monoprix supermarkets in Paris?	query(area(keyval('name','Paris')),nwr(keyval('name','Monoprix')),qtype(latlong))
Where are REWE City in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('name','REWE City')),qtype(latlong))
Where are Sainsbury's supermarkets in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('name','Sainsbury's')),qtype(latlong))
Where are Starbucks in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('name','Starbucks')),qtype(latlong))
Where are Starbucks in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('name','Starbucks')),qtype(latlong))
Where are Starbucks in Paris?	query(area(keyval('name','Paris')),nwr(keyval('name','Starbucks')),qtype(latlong))
Where are amenities close to Bastille train station in Paris?	query(around(center(area(keyval('name','Paris')),nwr(keyval('name','Bastille'),keyval('railway','station'))),search(nwr(keyval('amenity','*'))),maxdist(DIST_INTOWN)),qtype(latlong))
Where are amenities close to Haymarket train station in Edinburgh?	query(around(center(area(keyval('name','Edinburgh')),nwr(keyval('name','Haymarket'),keyval('railway','station'))),search(nwr(keyval('amenity','*'))),maxdist(DIST_INTOWN)),qtype(latlong))
Where are amenities close to Heidelberg-Altstadt train station in Heidelberg?	query(around(center(area(keyval('name','Heidelberg')),nwr(keyval('name','Heidelberg-Altstadt'),keyval('railway','station'))),search(nwr(keyval('amenity','*'))),maxdist(DIST_INTOWN)),qtype(latlong))
Where are arts centres in Paris?	query(area(keyval('name','Paris')),nwr(keyval('amenity','arts_centre')),qtype(latlong))
Where are bakeries in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('shop','bakery')),qtype(latlong))
Where are bakeries in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('shop','bakery')),qtype(latlong))
Where are bakeries in Paris?	query(area(keyval('name','Paris')),nwr(keyval('shop','bakery')),qtype(latlong))
Where are banks in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('amenity','bank')),qtype(latlong))
Where are banks in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('amenity','bank')),qtype(latlong))
Where are banks in Paris?	query(area(keyval('name','Paris')),nwr(keyval('amenity','bank')),qtype(latlong))
Where are banks that can be accessed with a wheelchair in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('amenity','bank'),keyval('wheelchair','yes')),qtype(latlong))
Where are banks that can be accessed with a wheelchair in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('amenity','bank'),keyval('wheelchair','yes')),qtype(latlong))
Where are banks that can be accessed with a wheelchair in Paris?	query(area(keyval('name','Paris')),nwr(keyval('amenity','bank'),keyval('wheelchair','yes')),qtype(latlong))
Where are banks with ATM's in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('amenity','bank'),keyval('atm','yes')),qtype(latlong))
Where are banks with ATM's in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('amenity','bank'),keyval('atm','yes')),qtype(latlong))
Where are banks with ATM's in Paris?	query(area(keyval('name','Paris')),nwr(keyval('amenity','bank'),keyval('atm','yes')),qtype(latlong))
Where are bars were smoking is allowed and have a bus stop close by in Heidelberg?	query(around(center(area(keyval('name','Heidelberg')),nwr(keyval('amenity','bar'),keyval('smoking','yes'))),search(nwr(keyval('highway','bus_stop'))),maxdist(WALKING_DIST)),qtype(latlong))
Where are bars were smoking is allowed and have a bus stop no further than 400m away in Heidelberg?	query(around(center(area(keyval('name','Heidelberg')),nwr(keyval('amenity','bar'),keyval('smoking','yes'))),search(nwr(keyval('highway','bus_stop'))),maxdist(400)),qtype(latlong))
Where are bars with a bus stop close by in Edinburgh?	query(around(center(area(keyval('name','Edinburgh')),nwr(keyval('amenity','bar'))),search(nwr(keyval('highway','bus_stop'))),maxdist(WALKING_DIST)),qtype(latlong))
Where are bars with a bus stop no further than 400m away in Edinburgh?	query(around(center(area(keyval('name','Edinburgh')),nwr(keyval('amenity','bar'))),search(nwr(keyval('highway','bus_stop'))),maxdist(400)),qtype(latlong))
Where are bicycle parking areas are there in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('amenity','bicycle_parking')),qtype(latlong))
Where are bicycle parking areas are there in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('amenity','bicycle_parking')),qtype(latlong))
Where are bicycle parking areas are there in Paris?	query(area(keyval('name','Paris')),nwr(keyval('amenity','bicycle_parking')),qtype(latlong))
Where are bike parking areas are there in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('amenity','bicycle_parking')),qtype(latlong))
Where are bike parking areas are there in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('amenity','bicycle_parking')),qtype(latlong))
Where are bike parking areas are there in Paris?	query(area(keyval('name','Paris')),nwr(keyval('amenity','bicycle_parking')),qtype(latlong))
Where are bike rentals in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('amenity','bicycle_rental')),qtype(latlong))
Where are bike rentals in Paris?	query(area(keyval('name','Paris')),nwr(keyval('amenity','bicycle_rental')),qtype(latlong))
Where are bus stops in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('highway','bus_stop')),qtype(latlong))
Where are bus stops in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('highway','bus_stop')),qtype(latlong))
Where are bus stops in Paris?	query(area(keyval('name','Paris')),nwr(keyval('highway','bus_stop')),qtype(latlong))
Where are butchers and bakeries in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(and(keyval('shop','bakery'),keyval('shop','butcher'))),qtype(latlong))
Where are butchers and bakeries in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(and(keyval('shop','bakery'),keyval('shop','butcher'))),qtype(latlong))
Where are butchers and bakeries in Paris?	query(area(keyval('name','Paris')),nwr(and(keyval('shop','bakery'),keyval('shop','butcher'))),qtype(latlong))
Where are camp sites in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('tourism','camp_site')),qtype(latlong))
Where are camp sites in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('tourism','camp_site')),qtype(latlong))
Where are camp sites in Paris?	query(area(keyval('name','Paris')),nwr(keyval('tourism','camp_site')),qtype(latlong))
Where are cemeteries in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('landuse','cemetery')),qtype(latlong))
Where are cemeteries in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('landuse','cemetery')),qtype(latlong))
Where are cemeteries in Paris?	query(area(keyval('name','Paris')),nwr(keyval('landuse','cemetery')),qtype(latlong))
Where are charging stations in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('amenity','charging_station')),qtype(latlong))
Where are charging stations in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('amenity','charging_station')),qtype(latlong))
Where are charging stations in Paris?	query(area(keyval('name','Paris')),nwr(keyval('amenity','charging_station')),qtype(latlong))
Where are churches close to Heidelberger Schloss in Heidelberg?	query(around(center(area(keyval('name','Heidelberg')),nwr(keyval('name','Heidelberger Schloss'))),search(nwr(keyval('amenity','place_of_worship'),keyval('religion','christian'))),maxdist(DIST_INTOWN)),qtype(latlong))
Where are churches close to Palace of Holyroodhouse in Edinburgh?	query(around(center(area(keyval('name','Edinburgh')),nwr(keyval('name','Palace of Holyroodhouse'))),search(nwr(keyval('amenity','place_of_worship'),keyval('religion','christian'))),maxdist(DIST_INTOWN)),qtype(latlong))
Where are churches close to Palais de l’Élysée in Paris?	query(around(center(area(keyval('name','Paris')),nwr(keyval('name','Palais de l’Élysée'))),search(nwr(keyval('amenity','place_of_worship'),keyval('religion','christian'))),maxdist(DIST_INTOWN)),qtype(latlong))
Where are fire brigades in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('amenity','fire_station')),qtype(latlong))
Where are fire brigades in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('amenity','fire_station')),qtype(latlong))
Where are fire brigades in Paris?	query(area(keyval('name','Paris')),nwr(keyval('amenity','fire_station')),qtype(latlong))
Where are fire hydrants in Brietlingen?	query(area(keyval('name','Brietlingen')),nwr(keyval('emergency','fire_hydrant')),qtype(latlong))
Where are helipads in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('aeroway','helipad')),qtype(count))
Where are hiking maps close to a car park in Edinburgh?	query(around(center(area(keyval('name','Edinburgh')),nwr(keyval('natural','peak'))),search(nwr(keyval('information','map'),keyval('hiking','yes'))),maxdist(WALKING_DIST)),qtype(latlong))
Where are hiking maps in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('information','map'),keyval('hiking','yes')),qtype(latlong))
Where are hiking maps in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('information','map'),keyval('hiking','yes')),qtype(latlong))
Where are hospitals in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('amenity','hospital')),qtype(latlong))
Where are hospitals in Paris?	query(area(keyval('name','Paris')),nwr(keyval('amenity','hospital')),qtype(latlong))
Where are information maps in Paris?	query(area(keyval('name','Paris')),nwr(keyval('information','map')),qtype(latlong))
Where are kindergartens in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('amenity','kindergarten')),qtype(latlong))
Where are kindergartens in Hamburg?	query(area(keyval('name','Hamburg')),nwr(keyval('amenity','kindergarten')),qtype(latlong))
Where are kindergartens in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('amenity','kindergarten')),qtype(latlong))
Where are kindergartens in Paris?	query(area(keyval('name','Paris')),nwr(keyval('amenity','kindergarten')),qtype(latlong))
Where are murals in Deutschland?	query(area(keyval('name','Deutschland')),nwr(keyval('artwork_type','mural')),qtype(latlong))
Where are museums in Paris?	query(area(keyval('name','Paris')),nwr(keyval('tourism','museum')),qtype(latlong))
Where are museums that I can visit with a wheelchair in Paris?	query(area(keyval('name','Paris')),nwr(keyval('tourism','museum'),keyval('wheelchair','yes')),qtype(latlong))
Where are peaks in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('natural','peak')),qtype(latlong))
Where are peaks in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('natural','peak')),qtype(latlong))
Where are piers in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('man_made','pier')),qtype(latlong))
Where are piers in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('man_made','pier')),qtype(latlong))
Where are piers in Paris?	query(area(keyval('name','Paris')),nwr(keyval('man_made','pier')),qtype(latlong))
Where are places in which taxis wait in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('amenity','taxi')),qtype(latlong))
Where are places in which taxis wait in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('amenity','taxi')),qtype(latlong))
Where are places in which taxis wait in Paris?	query(area(keyval('name','Paris')),nwr(keyval('amenity','taxi')),qtype(latlong))
Where are playgrounds in York?	query(area(keyval('name','York')),nwr(keyval('leisure','playground')),qtype(latlong))
Where are post offices in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('amenity','post_office')),qtype(latlong))
Where are post offices in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('amenity','post_office')),qtype(latlong))
Where are post offices in Paris?	query(area(keyval('name','Paris')),nwr(keyval('amenity','post_office')),qtype(latlong))
Where are post offices in Toulouse?	query(area(keyval('name','Toulouse')),nwr(keyval('amenity','post_office')),qtype(latlong))
Where are quarries in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('landuse','quarry')),qtype(latlong))
Where are quarries in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('landuse','quarry')),qtype(latlong))
Where are schools in Bielefeld?	query(area(keyval('name','Bielefeld')),nwr(keyval('amenity','school')),qtype(latlong))
Where are subway stations in Île-de-France?	query(area(keyval('name','Île-de-France')),nwr(keyval('station','subway')),qtype(latlong))
Where are supermarkets in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('shop','supermarket')),qtype(latlong))
Where are supermarkets in Heidelberg?	query(area(keyval('name','Heidelberg')),nwr(keyval('shop','supermarket')),qtype(latlong))
Where are supermarkets in Paris?	query(area(keyval('name','Paris')),nwr(keyval('shop','supermarket')),qtype(latlong))
Where are the Stolpersteine in Pinneberg?	query(area(keyval('name','Pinneberg')),nwr(keyval('memorial:type','stolperstein')),qtype(latlong))
Where are the closest bank and the closest pharmacy from the Rue Lauriston in Paris?	query(around(center(area(keyval('name','Paris')),nwr(keyval('name','Rue Lauriston'))),search(nwr(and(keyval('amenity','bank'),keyval('amenity','pharmacy')))),maxdist(DIST_INTOWN),topx(1)),qtype(latlong))
Where are the closest bank and the closest pharmacy from the Yorckstraße in Heidelberg?	query(around(center(area(keyval('name','Heidelberg')),nwr(keyval('name','Yorckstraße'))),search(nwr(and(keyval('amenity','bank'),keyval('amenity','pharmacy')))),maxdist(DIST_INTOWN),topx(1)),qtype(latlong))
Where are the closest public bathrooms from Gare du Nord in Paris?	query(around(center(area(keyval('name','Paris')),nwr(keyval('name','Gare du Nord'),keyval('railway','station'))),search(nwr(keyval('amenity','toilets'))),maxdist(DIST_INTOWN),topx(1)),qtype(latlong))
Where are tombs in Edinburgh?	query(area(keyval('name','Edinburgh')),nwr(keyval('historic','tomb')),qtype(latlong))
Where are tombs in Paris?	query(area(keyval('name','Paris')),nwr(keyval('historic','tomb')),qtype(latlong))
Where are water towers in Vendée?	query(area(keyval('name','Vendée')),nwr(keyval('man_made','water_tower')),qtype(latlong))
